u,v,temperatura,rocio
-0.520944533000791,-2.954423259036624,14.0,6.0
-2.4999999999999996,-4.330127018922194,13.0,7.0
-2.819077862357725,-1.0260604299770064,13.0,7.0
-1.4999999999999998,-2.598076211353316,10.0,7.0
-1.9999999999999998,-3.464101615137755,9.0,7.0
-1.0260604299770062,-2.8190778623577253,9.0,7.0
-3.064177772475912,-2.5711504387461575,10.0,7.0
-0.520944533000791,-2.954423259036624,7.0,6.0
-1.3680805733026749,-3.7587704831436337,6.0,6.0
-1.4999999999999998,-2.598076211353316,7.0,6.0
-3.064177772475912,-2.5711504387461575,7.0,7.0
-3.064177772475912,-2.5711504387461575,8.0,6.0
-1.4999999999999998,-2.598076211353316,8.0,7.0
-3.8567256581192355,-4.596266658713868,13.0,8.0
-3.4999999999999996,-6.062177826491071,15.0,6.0
-3.464101615137755,1.9999999999999993,16.0,6.0
-9.0,-5.51091059616309e-16,19.0,3.0
-7.517540966287267,2.7361611466053497,20.0,2.0
-10.392304845413264,5.999999999999998,20.0,2.0
-9.396926207859085,3.420201433256687,20.0,3.0
-8.660254037844387,4.999999999999998,19.0,3.0
-8.660254037844387,4.999999999999998,19.0,3.0
-8.660254037844387,4.999999999999998,18.0,4.0
-8.660254037844387,4.999999999999998,15.0,5.0
-8.660254037844387,4.999999999999998,14.0,6.0
-7.794228634059948,4.499999999999998,13.0,6.0
-6.0,-3.6739403974420594e-16,11.0,6.0
-3.8567256581192355,-4.596266658713868,10.0,5.0
-2.4999999999999996,-4.330127018922194,9.0,4.0
-2.4999999999999996,-4.330127018922194,9.0,5.0
3.939231012048832,0.6945927106677213,9.0,6.0
3.7587704831436337,1.3680805733026742,7.0,4.0
-2.571150438746157,-3.064177772475912,7.0,5.0
-1.4999999999999998,2.598076211353316,7.0,5.0
0.0,0.0,5.0,5.0
-2.598076211353316,-1.5000000000000004,5.0,5.0
-1.9999999999999998,-3.464101615137755,7.0,5.0
-1.9999999999999998,-3.464101615137755,12.0,7.0
-5.196152422706632,-3.000000000000001,15.0,7.0
-3.9999999999999996,-6.92820323027551,16.0,7.0
-5.196152422706632,-3.000000000000001,18.0,7.0
-10.0,-6.123233995736766e-16,19.0,5.0
-6.06217782649107,-3.500000000000001,19.0,5.0
-6.893654271085456,-1.2155372436685128,19.0,5.0
-11.276311449430901,4.104241719908025,21.0,5.0
-9.526279441628827,5.499999999999998,20.0,5.0
-9.526279441628827,5.499999999999998,19.0,6.0
-7.517540966287267,2.7361611466053497,17.0,6.0
