FECHA_REPORTE,Año,Mes,Dia,Hora,viento
2006-07-20 00:00:00.000,2006,7,20,0,03004KT
2006-07-20 01:00:00.000,2006,7,20,1,29004KT
2006-07-20 05:00:00.000,2006,7,20,5,VRB02KT
2006-07-20 06:00:00.000,2006,7,20,6,VRB02KT
2006-07-20 07:00:00.000,2006,7,20,7,VRB02KT
2006-07-20 08:00:00.000,2006,7,20,8,VRB02KT
2006-07-20 20:00:00.000,2006,7,20,20,14010KT
2006-07-20 21:00:00.000,2006,7,20,21,09008KT
2006-07-20 22:00:00.000,2006,7,20,22,08005KT
2006-07-20 23:00:00.000,2006,7,20,23,15010KT
2006-07-21 00:00:00.000,2006,7,21,0,16007KT
2006-07-21 01:00:00.000,2006,7,21,1,14008KT
2006-07-21 02:00:00.000,2006,7,21,2,VRB02KT
2006-07-21 03:00:00.000,2006,7,21,3,02004KT
2006-07-21 04:00:00.000,2006,7,21,4,28004KT
2006-07-21 05:00:00.000,2006,7,21,5,VRB02KT
2006-07-21 06:00:00.000,2006,7,21,6,02004KT
2006-07-21 07:00:00.000,2006,7,21,7,03003KT
2006-07-21 08:00:00.000,2006,7,21,8,VRB02KT
2006-07-21 09:00:00.000,2006,7,21,9,03005KT
2006-07-21 13:00:00.000,2006,7,21,13,03005KT
2006-07-21 14:00:00.000,2006,7,21,14,10004KT
2006-07-21 15:00:00.000,2006,7,21,15,17003KT
2006-07-21 16:00:00.000,2006,7,21,16,13007KT
2006-07-21 17:00:00.000,2006,7,21,17,09006KT
2006-07-21 18:00:00.000,2006,7,21,18,12010KT
2006-07-21 19:00:00.000,2006,7,21,19,13010KT
2006-07-27 23:00:00.000,2006,7,27,23,30009KT
2006-07-28 00:00:00.000,2006,7,28,0,29005KT
2006-07-28 02:00:00.000,2006,7,28,2,00000KT
2006-07-28 03:00:00.000,2006,7,28,3,33003KT
2006-07-28 04:00:00.000,2006,7,28,4,32004KT
2006-07-28 05:00:00.000,2006,7,28,5,VRB02KT
2006-07-28 06:00:00.000,2006,7,28,6,VB03KT
2006-07-28 07:00:00.000,2006,7,28,7,VRB02KT
2006-07-28 08:00:00.000,2006,7,28,8,32004KT
2006-07-28 09:00:00.000,2006,7,28,9,00000KT
2006-07-28 11:00:00.000,2006,7,28,11,VRB02KT
2006-07-28 12:00:00.000,2006,7,28,12,VRB02KT
2006-07-28 13:00:00.000,2006,7,28,13,VRB02KT
2006-07-28 21:00:00.000,2006,7,28,21,06003KT
2006-07-28 22:00:00.000,2006,7,28,22,04005KT
2006-07-30 15:00:00.000,2006,7,30,15,09010KT
2006-07-30 16:00:00.000,2006,7,30,16,12010KT
2006-08-01 02:00:00.000,2006,8,1,2,09009KT
2006-08-01 03:00:00.000,2006,8,1,3,05003KT
2006-08-01 05:00:00.000,2006,8,1,5,VRB02KT
2006-08-01 07:00:00.000,2006,8,1,7,VRB02KT
2006-08-01 10:00:00.000,2006,8,1,10,VRB02KT
2006-08-01 11:00:00.000,2006,8,1,11,08004KT
2006-08-01 14:00:00.000,2006,8,1,14,09006KT
2006-08-01 15:00:00.000,2006,8,1,15,14008KT
2006-08-02 14:00:00.000,2006,8,2,14,14013G24KT
2006-08-02 16:00:00.000,2006,8,2,16,12012G23KT
2006-08-02 17:00:00.000,2006,8,2,17,16018KT
2006-08-04 13:00:00.000,2006,8,4,13,15008KT
2006-08-05 02:00:00.000,2006,8,5,2,03004KT
2006-08-05 03:00:00.000,2006,8,5,3,17004KT
2006-08-05 05:00:00.000,2006,8,5,5,06003KT
2006-08-05 06:00:00.000,2006,8,5,6,03003KT
2006-08-05 07:00:00.000,2006,8,5,7,32003KT
2006-08-05 09:00:00.000,2006,8,5,9,VRB02KT
2006-08-05 10:00:00.000,2006,8,5,10,04004KT
2006-08-05 12:00:00.000,2006,8,5,12,VRB02KT
2006-08-05 15:00:00.000,2006,8,5,15,19010KT
2006-08-05 16:00:00.000,2006,8,5,16,14008KT
2006-08-05 18:00:00.000,2006,8,5,18,14010KT
2006-08-05 19:00:00.000,2006,8,5,19,14007KT
2006-08-05 20:00:00.000,2006,8,5,20,14008KT
2006-08-05 21:00:00.000,2006,8,5,21,16012KT
2006-08-05 22:00:00.000,2006,8,5,22,16009KT
2006-08-05 23:00:00.000,2006,8,5,23,16008KT
2006-08-06 00:00:00.000,2006,8,6,0,23004KT
2006-08-06 01:00:00.000,2006,8,6,1,VRB02KT
2006-08-06 02:00:00.000,2006,8,6,2,VRB02KT
2006-08-06 03:00:00.000,2006,8,6,3,00000KT
2006-08-06 05:00:00.000,2006,8,6,5,01004KT
2006-08-06 06:00:00.000,2006,8,6,6,03005KT
2006-08-06 07:00:00.000,2006,8,6,7,01004KT
2006-08-06 08:00:00.000,2006,8,6,8,VRB02KT
2006-08-06 09:00:00.000,2006,8,6,9,03006KT
2006-08-06 10:00:00.000,2006,8,6,10,00000KT
2006-08-06 13:00:00.000,2006,8,6,13,06009KT
2006-08-06 14:00:00.000,2006,8,6,14,11008KT
2006-08-06 15:00:00.000,2006,8,6,15,13008KT
2006-08-06 16:00:00.000,2006,8,6,16,14008KT
2006-08-06 17:00:00.000,2006,8,6,17,14009KT
2006-08-06 18:00:00.000,2006,8,6,18,15008KT
2006-08-06 19:00:00.000,2006,8,6,19,12009KT
2006-08-07 00:00:00.000,2006,8,7,0,00000KT
2006-08-07 02:00:00.000,2006,8,7,2,32004KT
2006-08-07 04:00:00.000,2006,8,7,4,02004KT
2006-08-07 05:00:00.000,2006,8,7,5,34004KT
2006-08-07 06:00:00.000,2006,8,7,6,00000KT
2006-08-07 07:00:00.000,2006,8,7,7,VRB02KT
2006-08-07 14:00:00.000,2006,8,7,14,09004KT
2006-08-09 01:00:00.000,2006,8,9,1,08007KT
2006-08-09 03:00:00.000,2006,8,9,3,03005KT
2006-08-09 08:00:00.000,2006,8,9,8,01004KT
2006-08-09 10:00:00.000,2006,8,9,10,00000KT
2006-08-09 12:00:00.000,2006,8,9,12,VRB02KT
2006-08-09 13:00:00.000,2006,8,9,13,02005KT
2006-08-09 14:00:00.000,2006,8,9,14,04004KT
2006-08-09 15:00:00.000,2006,8,9,15,27004KT
2006-08-09 20:00:00.000,2006,8,9,20,15009KT
2006-08-09 21:00:00.000,2006,8,9,21,11005KT
2006-08-09 22:00:00.000,2006,8,9,22,13008KT
2006-08-09 23:00:00.000,2006,8,9,23,VRB02KT
2006-08-10 00:00:00.000,2006,8,10,0,VRB02KT
2006-08-10 01:00:00.000,2006,8,10,1,04005KT
2006-08-10 02:00:00.000,2006,8,10,2,03005KT
2006-08-10 03:00:00.000,2006,8,10,3,05004KT
2006-08-10 04:00:00.000,2006,8,10,4,01003KT
2006-08-10 05:00:00.000,2006,8,10,5,02003KT
2006-08-10 06:00:00.000,2006,8,10,6,02004KT
2006-08-10 08:00:00.000,2006,8,10,8,VRB02KT
2006-08-10 13:00:00.000,2006,8,10,13,04006KT
2006-08-10 15:00:00.000,2006,8,10,15,15012KT
2006-08-10 16:00:00.000,2006,8,10,16,12012KT
2006-08-10 17:00:00.000,2006,8,10,17,14012KT
2006-08-10 18:00:00.000,2006,8,10,18,13012KT
2006-08-10 20:00:00.000,2006,8,10,20,11012KT
2006-08-11 02:00:00.000,2006,8,11,2,08007KT
2006-08-11 03:00:00.000,2006,8,11,3,35003KT
2006-08-11 08:00:00.000,2006,8,11,8,04004KT
2006-08-11 09:00:00.000,2006,8,11,9,05005KT
2006-08-11 11:00:00.000,2006,8,11,11,09008KT
2006-08-12 18:00:00.000,2006,8,12,18,14012KT
2006-08-12 20:00:00.000,2006,8,12,20,18012KT
2006-08-12 21:00:00.000,2006,8,12,21,17010KT
2006-08-12 22:00:00.000,2006,8,12,22,14011KT
2006-08-12 23:00:00.000,2006,8,12,23,14011KT
2006-08-13 00:00:00.000,2006,8,13,0,13007KT
2006-08-13 01:00:00.000,2006,8,13,1,07008KT
2006-08-13 02:00:00.000,2006,8,13,2,09005KT
2006-08-13 03:00:00.000,2006,8,13,3,13003KT
2006-08-13 04:00:00.000,2006,8,13,4,02004KT
2006-08-13 06:00:00.000,2006,8,13,6,03003KT
2006-08-13 07:00:00.000,2006,8,13,7,03004KT
2006-08-13 08:00:00.000,2006,8,13,8,02005KT
2006-08-13 09:00:00.000,2006,8,13,9,02003KT
