OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 04:05:00,SKBO 150400Z 36003KT 9999 FEW030 BKN045 13/13 Q1030 NOSIG =,2026-05-15 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 05:05:00,SKBO 150500Z 06004KT 9999 FEW015 SCT030 13/12 Q1030 NOSIG =,2026-05-15 05:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 06:05:00,SKBO 150600Z 35003KT 310V040 9999 FEW020 12/12 Q1029 NOSIG =,2026-05-15 06:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 07:05:00,SKBO 150700Z 04003KT 9999 FEW015 SCT040 11/11 Q1028 NOSIG =,2026-05-15 07:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 08:05:00,SKBO 150800Z VRB02KT 9999 SCT040 11/11 Q1028 NOSIG =,2026-05-15 08:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 09:05:00,SKBO 150900Z 05004KT 9999 BKN040 11/11 Q1028 NOSIG =,2026-05-15 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 10:05:00,SKBO 151000Z 05004KT 9999 SCT040 10/10 Q1028 NOSIG =,2026-05-15 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 10:05:00,SKBO 151033Z 36002KT 9999 FEW020 SCT050 11/11 Q1028 NOSIG =,2026-05-15 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 11:05:00,SKBO 151100Z VRB02KT 9999 FEW020 SCT060 11/11 Q1028 NOSIG =,2026-05-15 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 12:05:00,SKBO 151200Z 07005KT 350V110 9999 FEW030 13/12 Q1028 NOSIG =,2026-05-15 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 12:05:00,SKBO 151224Z 08006KT 040V130 9999 FEW030 15/12 Q1029 NOSIG =,2026-05-15 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 13:05:00,SKBO 151300Z 09005KT 010V160 9999 SCT030 16/12 Q1029 NOSIG =,2026-05-15 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 14:05:00,SKBO 151400Z 13010KT 090V150 9999 SCT030 17/10 Q1029 NOSIG =,2026-05-15 14:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 15:05:00,SKBO 151500Z 14015KT 9999 FEW030 BKN050 18/11 Q1029 NOSIG =,2026-05-15 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 16:05:00,SKBO 151600Z 13011KT 9999 FEW030 BKN050 19/11 Q1029 NOSIG =,2026-05-15 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 17:05:00,SKBO 151700Z 13011KT 080V160 9999 FEW030 BKN050 19/11 Q1029 NOSIG =,2026-05-15 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 18:05:00,SKBO 151800Z 12009KT 050V160 9999 VCSH FEW030 BKN045 20/10 Q1028 NOSIG RMK VCSH/SE =,2026-05-15 18:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 19:05:00,SKBO 151900Z 14010KT 090V180 9999 VCSH SCT040 BKN060 21/11 Q1027 NOSIG RMK VCSH/E =,2026-05-15 19:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 20:05:00,SKBO 152000Z 07008KT 050V140 9999 -RA SCT035 BKN045 19/10 Q1026 TEMPO RA =,2026-05-15 20:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 21:05:00,SKBO 152100Z 12008KT 050V160 9999 SCT045 BKN055 20/09 Q1025 RERA NOSIG =,2026-05-15 21:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,15-05-2026 22:05:00,SKBO 152200Z 14011KT 090V150 9999 SCT030 19/09 Q1025 NOSIG =,2026-05-15 22:05:00
