iter	MultiRMSE
0	12.91660467
1	12.8021692
2	12.69484248
3	12.58042821
4	12.49034738
5	12.40563204
6	12.31499286
7	12.24182831
8	12.17583559
9	12.08545675
10	12.0074063
11	11.95196106
12	11.89408783
13	11.8486057
14	11.80094988
15	11.74171616
16	11.69098043
17	11.63218571
18	11.57466095
19	11.5344685
20	11.48186025
21	11.43385325
22	11.39551135
23	11.36668883
24	11.31703546
25	11.29489265
26	11.24905406
27	11.22474434
28	11.17681953
29	11.15738379
30	11.11771679
31	11.0905906
32	11.06843831
33	11.04356278
34	11.01858553
35	10.98034857
36	10.96354472
37	10.92005634
38	10.89813345
39	10.86144802
40	10.82869797
41	10.80204166
42	10.76602807
43	10.7331526
44	10.70702078
45	10.68708078
46	10.67358706
47	10.64069624
48	10.62667741
49	10.60929467
50	10.59712858
51	10.57988873
52	10.5682844
53	10.55583174
54	10.53974241
55	10.51954352
56	10.47712928
57	10.45554175
58	10.43061325
59	10.4118018
60	10.39129651
61	10.3806148
62	10.3460769
63	10.3132045
64	10.28816243
65	10.28133298
66	10.25338717
67	10.2321883
68	10.22042265
69	10.20997018
70	10.19727325
71	10.1725676
72	10.1655107
73	10.15964481
74	10.13310867
75	10.10911195
76	10.09961373
77	10.09447609
78	10.07584753
79	10.05681351
80	10.03446305
81	10.02880522
82	10.01381177
83	9.988876831
84	9.975975887
85	9.969918138
86	9.960269227
87	9.945252693
88	9.937366097
89	9.928532129
90	9.91692761
91	9.899332712
92	9.893339426
93	9.872048901
94	9.85277714
95	9.844163243
96	9.836344277
97	9.812362123
98	9.803259244
99	9.793583454
100	9.776838853
101	9.753062859
102	9.734104255
103	9.722508629
104	9.713691427
105	9.698899618
106	9.691094858
107	9.675654815
108	9.667386728
109	9.651689879
110	9.633527915
111	9.625945146
112	9.621556757
113	9.620698917
114	9.616881606
115	9.600809898
116	9.588236245
117	9.571572163
118	9.55458448
119	9.5383302
120	9.531386683
121	9.511924053
122	9.5052611
123	9.493133679
124	9.48544544
125	9.473121513
126	9.456859732
127	9.45606324
128	9.438063805
129	9.43672594
130	9.42645197
131	9.422696862
132	9.404984682
133	9.397298049
134	9.384144107
135	9.369427978
136	9.359705574
137	9.348344012
138	9.3400771
139	9.325942579
140	9.293532065
141	9.287761736
142	9.27497006
143	9.272233061
144	9.261365075
145	9.253068212
146	9.2494192
147	9.240881858
148	9.232344632
149	9.224093558
150	9.216460155
151	9.214474573
152	9.210287315
153	9.197550064
154	9.186699259
155	9.178510794
156	9.169589739
157	9.161261088
158	9.138117568
159	9.135111855
160	9.130302876
161	9.111770921
162	9.098057409
163	9.07396804
164	9.066026769
165	9.057912438
166	9.045481893
167	9.04316316
168	9.034393245
169	9.024948267
170	9.015928825
171	9.007290872
172	8.998732544
173	8.994027011
174	8.983338297
175	8.976362107
176	8.975470326
177	8.967840424
178	8.959919196
179	8.951460261
180	8.946564556
181	8.937633248
182	8.932481867
183	8.908534335
184	8.900793629
185	8.893624985
186	8.885584481
187	8.877188507
188	8.866724615
189	8.857727098
190	8.855306518
191	8.849023489
192	8.842214436
193	8.839830503
194	8.831825733
195	8.824845927
196	8.816382227
197	8.809277136
198	8.806805611
199	8.791919781
200	8.783794245
201	8.782410134
202	8.771567186
203	8.760854131
204	8.751110206
205	8.744363501
206	8.735720114
207	8.727301038
208	8.715950703
209	8.703033273
210	8.696281976
211	8.687724361
212	8.668939858
213	8.660349434
214	8.654804856
215	8.647758392
216	8.639777907
217	8.630483634
218	8.623867623
219	8.615752119
220	8.608667295
221	8.597505944
222	8.59331255
223	8.589615808
224	8.580914833
225	8.574268333
226	8.56383645
227	8.561050271
228	8.558720404
229	8.552190824
230	8.544931913
231	8.530372184
232	8.523828881
233	8.521996642
234	8.514865328
235	8.499569897
236	8.498655404
237	8.486467454
238	8.48007091
239	8.479426571
240	8.471984232
241	8.462701257
242	8.462099382
243	8.459203586
244	8.456845018
245	8.454275975
246	8.443509073
247	8.442807934
248	8.430901231
