iter	Passed	Remaining
0	2621	5241175
1	5011	5006751
2	7268	4838215
3	9488	4734894
4	11945	4766288
5	14119	4692452
6	16604	4727581
7	19275	4799586
8	21557	4769030
9	24039	4783959
10	26949	4873049
11	29419	4873818
12	31781	4857644
13	34264	4860710
14	36736	4861523
15	39187	4859303
16	41567	4848701
17	44043	4849722
18	46712	4870407
19	49332	4883924
20	51875	4888605
21	54240	4876707
22	56695	4873360
23	59250	4878266
24	62008	4898645
25	64538	4899981
26	66851	4885107
27	69520	4896245
28	72190	4906463
29	74853	4915359
30	77397	4915988
31	80212	4933096
32	82793	4934969
33	85933	4969002
34	88362	4960899
35	91254	4978436
36	93909	4982254
37	96625	4988919
38	99381	4997090
39	102116	5003690
40	104734	5004246
41	107775	5024398
42	110527	5030274
43	113751	5056762
44	116898	5078594
45	119675	5083597
46	122660	5096949
47	125923	5120894
48	129517	5156906
49	133018	5187710
50	136246	5206743
51	139738	5234833
52	142690	5241868
53	146272	5271226
54	149659	5292489
55	153297	5321615
56	157479	5368105
57	162909	5454664
58	167258	5502537
59	171306	5538919
60	175284	5571749
61	179190	5601133
62	183555	5643602
63	187828	5681810
64	191760	5708570
65	194573	5701600
66	198228	5719043
67	202105	5742174
68	206606	5781984
69	211333	5826766
70	215761	5862014
71	219760	5884690
72	223521	5900352
73	226505	5895262
74	230313	5911375
75	234336	5932403
76	239004	5968892
77	243217	5993120
78	247464	6017455
79	251333	6032008
80	256054	6066271
81	258959	6057136
82	262652	6066332
83	266699	6083296
84	270395	6091859
85	274134	6101092
86	277707	6106362
87	281126	6108120
88	285629	6133016
89	290837	6172208
90	295514	6199314
91	300476	6231629
92	305443	6263229
93	309845	6282613
94	314457	6305700
95	318521	6317349
96	321252	6302513
97	325408	6315585
98	329837	6333547
99	334372	6353070
100	338569	6365774
101	343223	6386656
102	347313	6396642
103	351362	6405599
104	355509	6416102
105	359461	6422825
106	361443	6394501
107	365479	6402655
108	369197	6405067
109	373539	6418089
110	377474	6423875
111	381406	6429416
112	385044	6429901
113	388629	6429436
114	392468	6433064
115	396537	6440318
116	400167	6440310
117	404162	6446042
118	407706	6444498
119	411421	6445598
120	415536	6452829
121	419277	6454128
122	423184	6457865
123	426766	6456565
124	430617	6459258
125	434501	6462344
126	438529	6467452
127	442309	6468778
128	446273	6472699
129	450059	6473938
130	454238	6480693
131	457948	6480668
132	461417	6477186
133	465274	6479120
134	469080	6480256
135	472619	6477667
136	476471	6479310
137	481192	6492613
138	483280	6470391
139	487311	6474277
140	491280	6477240
141	495331	6481165
142	499252	6483293
143	501549	6464421
144	505499	6466902
145	509140	6465391
146	512982	6466377
147	516771	6466628
148	520875	6470743
149	525076	6475948
150	528327	6469383
151	531974	6467688
152	535691	6466806
153	539120	6462446
154	542235	6454357
155	546284	6457363
156	550161	6458263
157	553790	6456216
158	557268	6452393
159	559714	6436717
160	563165	6432679
161	566663	6429185
162	570380	6428152
163	573976	6425740
164	577287	6420136
165	581270	6421983
166	584359	6413962
167	585994	6390135
168	589547	6387348
169	592649	6379698
170	596156	6376433
171	598506	6360868
172	602398	6361743
173	605778	6357194
174	609730	6358622
175	613837	6361585
176	617724	6362210
177	621594	6362612
178	625611	6364458
179	629660	6366563
180	633942	6370950
181	637891	6371908
182	642150	6375890
183	645963	6375379
184	649805	6375117
185	654188	6380095
186	658007	6379503
187	662284	6383298
188	666609	6387462
189	670675	6389068
190	674279	6386243
191	677035	6375421
192	680907	6375127
193	684688	6373952
194	688911	6376846
195	692687	6375554
196	696994	6379091
197	700201	6372538
198	703773	6369323
199	707786	6370081
200	711894	6371628
201	715635	6369864
202	719822	6372028
203	723986	6373923
204	727372	6368946
205	731178	6367642
206	735273	6368817
207	738885	6365781
208	742172	6359959
209	746544	6363402
210	750486	6363127
211	754370	6362336
212	758956	6367394
213	763356	6370815
214	767436	6371504
215	771011	6367985
216	775421	6371319
217	779665	6373226
218	783748	6373769
219	787545	6371955
220	790909	6366644
221	795581	6371820
222	799458	6370572
223	803223	6368415
224	807538	6370578
225	809797	6356549
226	813905	6357068
227	817566	6354065
228	821457	6352846
229	824977	6348740
230	828844	6347301
231	832754	6346160
232	836642	6344837
233	840698	6344760
234	844104	6339767
235	847594	6335410
236	851787	6336295
237	855793	6335747
238	859832	6335421
239	863677	6333635
240	868062	6335772
241	871765	6332904
242	875367	6329305
243	879331	6328307
244	883588	6329378
245	887646	6328993
246	891793	6329208
247	895515	6326382
248	899953	6328590
249	904220	6329541
250	908567	6331016
251	913099	6333721
252	917024	6332177
253	921517	6334523
254	925344	6332261
255	929409	6331604
256	934697	6339212
257	940381	6349397
258	946480	6362249
259	952142	6372031
260	955655	6367377
261	961050	6375213
262	965973	6379830
263	970288	6380384
264	974630	6381070
265	976982	6368751
266	981580	6371083
267	986226	6373673
268	990917	6376499
269	995040	6375630
270	998461	6370254
271	1002952	6371697
272	1007820	6375481
273	1011896	6374206
274	1016054	6373432
275	1020303	6373202
276	1024303	6371389
277	1028904	6373287
278	1033328	6374041
279	1037480	6373092
280	1041532	6371510
281	1045611	6370071
282	1050012	6370572
283	1054740	6373009
284	1059468	6375399
285	1064170	6377582
286	1068690	6378631
287	1073320	6380295
288	1077786	6380943
289	1082974	6385817
290	1088002	6389677
291	1092531	6390563
292	1096482	6388037
293	1101424	6391259
294	1105812	6391220
295	1110920	6395299
296	1115954	6398888
297	1120843	6401595
298	1124993	6400047
299	1129724	6401771
300	1133370	6397333
301	1138113	6399061
302	1142276	6397501
303	1146124	6394165
304	1150222	6392221
305	1155973	6399408
306	1161095	6403046
307	1166481	6408073
308	1171274	6409790
309	1175857	6410318
310	1180403	6410613
311	1184754	6409827
312	1189400	6410603
313	1193199	6406799
314	1197023	6403124
315	1201211	6401394
316	1205509	6400231
317	1209714	6398553
318	1214104	6397835
319	1218483	6397039
320	1222378	6393686
321	1226921	6393710
322	1231269	6392689
323	1235758	6392379
324	1240167	6391634
325	1244913	6392593
326	1249475	6392577
327	1254177	6393245
328	1258748	6393219
329	1263689	6395035
330	1268147	6394373
331	1272764	6394491
332	1276613	6390736
333	1280773	6388529
334	1284675	6385028
335	1288794	6382600
336	1292696	6379092
337	1296653	6375854
338	1300373	6371444
339	1305331	6373086
340	1309042	6368625
341	1313233	6366496
342	1317177	6363157
343	1321712	6362664
344	1325940	6360673
345	1330153	6358596
346	1335088	6359947
347	1340441	6363242
348	1345111	6363264
349	1351952	6373491
350	1358259	6381112
351	1364105	6386491
352	1369165	6388145
353	1373576	6386741
354	1377892	6384880
355	1382672	6385150
356	1387348	6384914
357	1392633	6387442
358	1398107	6390793
359	1403263	6392642
360	1407679	6391097
361	1411930	6388792
362	1416089	6386058
363	1420215	6383165
364	1423828	6377972
365	1427934	6374985
366	1432083	6372188
367	1436034	6368499
368	1440228	6365886
369	1444851	6365157
370	1449746	6365599
371	1453302	6360153
372	1457621	6358045
373	1461440	6353747
374	1465695	6351349
375	1469282	6346049
376	1473663	6344181
377	1477680	6340736
